,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
11283,Gambarogno,Ziegen,174,5154,29.62
10792,Kirchberg (SG),Ziegen,173,8977,51.89
11262,Brione (Verzasca),Ziegen,173,175,1.01
10901,Obersaxen Mundaun,Ziegen,172,1147,6.67
10884,Schiers,Ziegen,172,2627,15.27
11549,Aubonne,Ziegen,172,3281,19.08
10785,Wildhaus-Alt St. Johann,Ziegen,171,2667,15.6
10883,Grüsch,Ziegen,170,2049,12.05
10188,Entlebuch,Ziegen,169,3367,19.92
10176,Nebikon,Ziegen,169,2600,15.38
10633,Tenniken,Ziegen,169,934,5.53
9785,Petit-Val,Ziegen,167,410,2.46
10194,Escholzmatt-Marbach,Ziegen,166,4358,26.25
10254,Unteriberg,Ziegen,165,2365,14.33
10457,Mümliswil-Ramiswil,Ziegen,160,2456,15.35
10148,Grosswangen,Ziegen,160,3162,19.76
11259,Quinto,Ziegen,160,1069,6.68
10324,Massonnens,Ziegen,157,510,3.25
10855,Buseno,Ziegen,157,92,0.59
10118,Kriens,Ziegen,156,27110,173.78
11312,Mezzovico-Vira,Ziegen,154,1375,8.93
11850,Val-de-Ruz,Ziegen,154,16832,109.3
10859,Lostallo,Ziegen,154,785,5.1
11354,Campo (Vallemaggia),Ziegen,154,56,0.36
11357,Linescio,Ziegen,150,45,0.3
9657,Bäretswil,Ziegen,149,5060,33.96
10216,Unterschächen,Ziegen,149,710,4.77
11957,Clos du Doubs,Ziegen,148,1321,8.93
10031,Blumenstein,Ziegen,148,1209,8.17
11555,Gimel,Ziegen,147,1951,13.27
10203,Erstfeld,Ziegen,147,3765,25.61
11279,Onsernone,Ziegen,146,698,4.78
10274,Stans,Ziegen,146,8333,57.08
11752,Vionnaz,Ziegen,145,2594,17.89
10864,Roveredo (GR),Ziegen,145,2484,17.13
10870,Arosa,Ziegen,145,3219,22.2
11907,Courrendlin,Ziegen,145,2882,19.88
11730,Gampel-Bratsch,Ziegen,145,1965,13.55
10717,Rüte,Ziegen,144,3543,24.6
10758,Gams,Ziegen,144,3339,23.19
9905,Hasle bei Burgdorf,Ziegen,142,3331,23.46
10800,Oberuzwil,Ziegen,141,6423,45.55
10078,Beatenberg,Ziegen,141,1208,8.57
9663,Hinwil,Ziegen,139,11095,79.82
10103,Innertkirchen,Ziegen,139,1087,7.82
11335,Alto Malcantone,Ziegen,137,1414,10.32
10058,St. Stephan,Ziegen,137,1325,9.67
10025,Burgistein,Ziegen,137,1070,7.81
10146,Eich,Ziegen,137,1658,12.1
9666,Wald (ZH),Ziegen,137,9645,70.4
10691,Herisau,Ziegen,134,15730,117.39
10235,Schübelbach,Ziegen,134,9073,67.71
11711,Goms,Ziegen,133,1206,9.07
10281,Glarus,Ziegen,133,12515,94.1
10064,Adelboden,Ziegen,133,3370,25.34
10795,Bütschwil-Ganterschwil,Ziegen,132,4734,35.86
9942,Meikirch,Ziegen,131,2465,18.82
9998,Kriechenwil,Ziegen,131,421,3.21
10339,Botterens,Ziegen,131,569,4.34
10913,Domleschg,Ziegen,131,1954,14.92
10776,Schänis,Ziegen,129,3758,29.13
10087,Hofstetten bei Brienz,Ziegen,128,538,4.2
10907,Cazis,Ziegen,128,2132,16.66
11336,Monteceneri,Ziegen,127,4655,36.65
10720,Oberegg,Ziegen,127,1906,15.01
10910,Thusis,Ziegen,126,3044,24.16
10916,Nufenen,Ziegen,125,150,1.2
10202,Bürglen (UR),Ziegen,124,4021,32.43
11231,Birwinken,Ziegen,124,1338,10.79
9830,Wengi,Ziegen,122,592,4.85
10346,Grandvillard,Ziegen,122,812,6.66
9928,Lauperswil,Ziegen,121,2604,21.52
10086,Habkern,Ziegen,121,650,5.37
10231,Galgenen,Ziegen,120,5199,43.32
10548,Beinwil (SO),Ziegen,120,246,2.05
10878,Jenaz,Ziegen,118,1168,9.9
11915,Movelier,Ziegen,117,391,3.34
11222,Hohentannen,Ziegen,117,598,5.11
9729,Turbenthal,Ziegen,117,4681,40.01
9678,Wädenswil,Ziegen,117,21797,186.3
9947,Köniz,Ziegen,115,40938,355.98
10767,Pfäfers,Ziegen,115,1572,13.67
